id,manufacturer,name,certification_id,assurance_level,certification_date,archived_date,remark
206,北京天融信网络安全技术有限公司,天融信网络审计系统TA-Net(千兆）V3,CNITSEC2019PRD0943,EAL3+,2019/12/9,2022/12/8,NULL
207,北京天融信网络安全技术有限公司,天融信网络审计系统TA-Net(万兆）V3,CNITSEC2019PRD0944,EAL3+,2019/12/9,2022/12/8,NULL
208,北京天融信网络安全技术有限公司,"天融信入侵防御系统 TopIDP3000(千兆）V3",CNITSEC2019PRD0945,EAL3+,2019/12/10,2022/12/9,NULL
209,北京天融信网络安全技术有限公司,"天融信入侵防御系统 TopIDP3000(万兆）V3",CNITSEC2019PRD0946,EAL3+,2019/12/10,2022/12/9,NULL
210,天津国芯科技有限公司,加密芯片CCM3310S,CNITSEC2019PRD0947,EAL4+,2019/12/5,2022/12/4,NULL
211,北京永新视博数字电视技术有限公司,可下载条件接收系统硬件安全模块NSC2.0,CNITSEC2019PRD0948,EAL3,2019/12/9,2022/12/8,NULL
212,南京富岛信息工程有限公司,信关数据终端（V2.1/HD007),CNITSEC2019PRD0949,EAL2,2019/12/20,2022/12/19,NULL
213,北京华大智宝电子系统有限公司,"SC900型华大智能IC卡操作系统（Sigma COS)V3.1",CNITSEC2019PRD0950,EAL4+,2019/12/19,2022/12/18,NULL
214,北京握奇智能科技有限公司,"蓝牙型智能密码钥匙 WatchKeyOCL MB/V3.4",CNITSEC2020PRD0951,EAL4+,2020/1/10,2023/1/9,NULL
215,北京中电华大电子设计有限责任公司,智能IC芯片CIU98320B,CNITSEC2020PRD0952,EAL4+,2020/2/20,2023/2/19,NULL
216,北京神州绿盟科技有限公司,"绿盟运维安全管理系统 V5.6",CNITSEC2020PRD0953,EAL3+,2020/3/3,2023/3/2,NULL
217,湖南国科微电子股份有限公司,"GK2302 关键电路模块及固件",CNITSEC2019I&amp;OE0032,自主原创,2019/11/6,2022/11/5,NULL
218,北京启明星辰信息安全技术有限公司,"天清汉马USG防火墙 V2.6",CNITSEC2019I&amp;OE0033,自主原创,2019/11/1,2022/10/31,NULL
219,北京网御星云信息技术有限公司,"网御防火墙系统 V3.0",CNITSEC2019I&amp;OE0034,自主原创,2019/11/1,2022/10/31,NULL
220,北京天融信网络安全技术有限公司,"天融信防火墙系统 V3",CNITSEC2020I&amp;OE0035,自主原创,2020/2/13,2023/2/12,NULL
221,天地融科技股份有限公司,"OnKey193D USBKey V2.3",CNITSEC2019PRD0925,EAL4+,2019/9/5,2022/9/4,NULL
222,杭州迪普科技股份有限公司,"迪普防火墙（千兆）Dptech FW1000 V1.0",CNITSEC2019PRD0926,EAL4+,2019/9/17,2022/9/16,NULL
223,杭州迪普科技股份有限公司,"迪普防火墙（万兆）Dptech FW1000 V1.0",CNITSEC2019PRD0927,EAL4+,2019/9/17,2022/9/16,NULL
224,北京百度网讯科技有限公司,"Apollo 自动驾驶安全防护平台V1.0",CNITSEC2019PRD0928,EAL4,2019/10/15,2022/10/14,NULL
225,北京神州绿盟科技有限公司,绿盟抗拒绝服务系统（千兆）V4.5,CNITSEC2019PRD0929,EAL3+,2019/10/15,2022/10/14,NULL
226,北京神州绿盟科技有限公司,绿盟抗拒绝服务系统（万兆）V4.5,CNITSEC2019PRD0930  ,EAL3+,2019/11/1,2022/10/31,NULL
227,北京神州绿盟科技有限公司,绿盟日志审计系统V2.0,CNITSEC2019PRD0931,EAL3+,2019/11/1,2022/10/31,NULL
228,网神信息技术（北京）股份有限公司,"网神SecVSS 3600漏洞扫描系统 V3.0",CNITSEC2019PRD0932,EAL3+,2019/11/1,2022/10/31,NULL
229,网神信息技术（北京）股份有限公司,"奇安信网神SecVSS 3600 漏洞扫描系统 V5.0",CNITSEC2019PRD0933,EAL3+,2019/11/1,2022/10/31,NULL
